Airport_ID,Name,Country,City,IATA,Latitude,Longitude,Degree,DegreeCentrality,Betweenness,Closeness,Eigenvector
3247,Jalaluddin Airport,Indonesia,Gorontalo,GTO,0.63711899519,122.849998474,2,0.0006275494195167869,0.0,0.2119861646933617,4.2207969002109087e-05
6095,Tiksi Airport,Russia,Tiksi,IKS,71.697700500488,128.90299987793,1,0.00031377470975839345,0.0,0.22606043410412824,9.021648606662112e-05
6945,Drake Bay Airport,Costa Rica,Puntarenas,DRK,8.71889019012,-83.6417007446,1,0.00031377470975839345,0.0,0.2447960672862739,0.0002735119031132015
5514,Chapais Airport,Canada,Chibougamau,YMT,49.77190017700195,-74.5280990600586,3,0.0009413241292751803,0.0006432467138434966,0.26327963651383723,0.0009216423238408718
746,Visby Airport,Sweden,Visby,VBY,57.662799835205,18.346200942993,4,0.0012550988390335738,9.588042526204442e-07,0.26520762253474245,0.0017414014219744368
6974,Siargao Airport,Philippines,Siargao,IAO,9.8591,126.014,1,0.00031377470975839345,0.0,0.22675204553539666,6.848463667732874e-05
3620,Deadhorse Airport,United States,Deadhorse,SCC,70.19470215,-148.4649963,5,0.0015688735487919673,0.00510641362211524,0.23289973691902952,0.00011202510857306177
1815,Del Bajío International Airport,Mexico,Del Bajio,BJX,20.9935,-101.481003,10,0.0031377470975839346,3.287926681170162e-06,0.2995300751879699,0.006843030021440437
5898,Longana Airport,Vanuatu,Longana,LOD,-15.3066997528,167.966995239,2,0.0006275494195167869,0.0,0.20128844817785638,2.430895844343243e-06
4291,Ballina Byron Gateway Airport,Australia,Ballina Byron Bay,BNK,-28.8339004517,153.56199646,3,0.0009413241292751803,0.0,0.25952768729641695,0.0004762815306502714
3502,Dallas Love Field,United States,Dallas,DAL,32.847099,-96.851799,24,0.007530593034201442,0.0003607248227385508,0.2938681420009221,0.007721465794272959
1562,Pisa International Airport,Italy,Pisa,PSA,43.683899,10.3927,65,0.020395356134295575,0.00034639824760940855,0.3172091171493978,0.05531673101280108
3388,Nanjing Lukou Airport,China,Nanjing,NKG,31.742000579833984,118.86199951171876,54,0.016943834326953247,0.00040346408656364533,0.3210112812248187,0.016075744630899655
6933,Gelendzhik Airport,Russia,Gelendzhik,GDZ,44.5820926295,38.0124807358,1,0.00031377470975839345,0.0,0.26903596150599357,0.001368403119060415
3967,Asmara International Airport,Eritrea,Asmara,ASM,15.291899681091309,38.91070175170898,9,0.002823972387825541,0.0003242190002317942,0.2731168052103865,0.0026410919541191118
1895,Cap Haitien International Airport,Haiti,Cap Haitien,CAP,19.733,-72.194702,2,0.0006275494195167869,0.0,0.23668770887486076,0.0002816912616517495
3437,Fort Smith Regional Airport,United States,Fort Smith,FSM,35.33660125732422,-94.36740112304688,2,0.0006275494195167869,0.0,0.27909624310359926,0.0020723468354123214
2491,Gobernador Castello Airport,Argentina,Viedma,VDM,-40.8692,-63.0004,2,0.0006275494195167869,0.0,0.21314874264312467,3.051789396159402e-05
2968,Chelyabinsk Balandino Airport,Russia,Chelyabinsk,CEK,55.305801,61.5033,14,0.004392845936617509,2.8385771645971684e-06,0.2799051466713508,0.006711223870850709
2965,Sochi International Airport,Russia,Sochi,AER,43.449902,39.9566,18,0.005647944775651082,5.7013781038604815e-05,0.28883451150987854,0.00903203822406713
3652,Midland International Airport,United States,Midland,MAF,31.9424991607666,-102.2020034790039,7,0.0021964229683087543,2.861561238052167e-06,0.2878692078403035,0.0037094089335919134
2750,Eduardo Falla Solano Airport,Colombia,San Vincente De Caguan,SVI,2.15217,-74.7663,2,0.0006275494195167869,0.0003139716806998614,0.24968661861485428,0.0003769451086534337
1116,Jimma Airport,Ethiopia,Jimma,JIM,7.66609001159668,36.81660079956055,2,0.0006275494195167869,0.0,0.25639581657280774,0.0004749446502335015
4328,Vadsø Airport,Norway,Vadsø,VDS,70.065299987793,29.844699859619,8,0.0025101976780671476,0.00031768084490349415,0.2172164667393675,0.00013485975200796998
1897,Toussaint Louverture International Airport,Haiti,Port-au-prince,PAP,18.57999992370605,-72.2925033569336,13,0.004079071226859115,0.0002363068327533347,0.30026380252496704,0.007382333714476025
3536,Salt Lake City International Airport,United States,Salt Lake City,SLC,40.78839874267578,-111.97799682617188,92,0.028867273297772198,0.005799568114691116,0.33361247775567887,0.03210057057131313
3458,Kansas City International Airport,United States,Kansas City,MCI,39.2976,-94.713898,43,0.013492312519610918,0.0005260564313222698,0.31538842157347846,0.02624120646501974
2559,Pinto Martins International Airport,Brazil,Fortaleza,FOR,-3.776279926300049,-38.53260040283203,18,0.005647944775651082,0.00029995265137035894,0.2900964864372838,0.004960020016748293
3527,Pueblo Memorial Airport,United States,Pueblo,PUB,38.289100646972656,-104.49700164794922,1,0.00031377470975839345,0.0,0.2607166230366492,0.0007010365116174675
2942,Simferopol International Airport,Ukraine,Simferopol,SIP,45.05220031738281,33.975101470947266,5,0.0015688735487919673,2.242654862141867e-07,0.2753585622947987,0.0044980737484971904
2607,Governador Jorge Teixeira de Oliveira Airport,Brazil,Porto Velho,PVH,-8.70928955078125,-63.90230178833008,4,0.0012550988390335738,5.477061541097582e-06,0.23806678120564728,0.0001841906813263124
6022,Virac Airport,Philippines,Virac,VRC,13.57639980316162,124.20600128173828,1,0.00031377470975839345,0.0,0.2540656887755102,0.00032869247236229777
3715,Easterwood Field,United States,College Station,CLL,30.58860016,-96.36380005,2,0.0006275494195167869,0.0,0.28111493340389876,0.0018464233383108555
5754,Muskegon County Airport,United States,Muskegon,MKG,43.16949844,-86.23819733,1,0.00031377470975839345,0.0,0.2801019511337669,0.0012884954650836493
