n_nodes,n_edges,n_components,lcc_size,lcc_fraction,avg_clustering,avg_path_length,global_efficiency,trial,removed_count,removed_frac
7698,18858,4491,3188,0.41413354117952716,0.20532072986043823,3.9585303611479983,0.047230781754054145,0,0,0.0
7442,17952,4346,3076,0.41332975006718625,0.20434951157726866,3.9602805882415133,0.047067993550747506,0,256,0.03325539101065212
7185,16679,4226,2931,0.40793319415448853,0.20155815388968076,3.9607693678146867,0.045854058242886714,0,513,0.0666406858924396
6929,15403,4097,2795,0.40337711069418386,0.1983447437466994,3.966778542826886,0.044833297033868645,0,769,0.09989607690309171
