Airport_ID,Name,Country,Degree,DegreeCentrality,Betweenness,Closeness,Eigenvector
1382,Charles de Gaulle International Airport,France,240,0.07530593034201442,0.06385132675292711,0.4116507362438646,0.15949845216835631
3774,Ted Stevens Anchorage International Airport,United States,34,0.010668340131785378,0.06183650111071484,0.30277408322249666,0.006935037221107095
3484,Los Angeles International Airport,United States,148,0.04643865704424223,0.05592543110602531,0.397977022977023,0.07559739061735612
580,Amsterdam Airport Schiphol,Netherlands,248,0.07781612802008157,0.05411734792639531,0.405161454360539,0.16793442710303427
340,Frankfurt am Main Airport,Germany,244,0.076561029181048,0.054059479289424416,0.414272715455609,0.1664358123740935
2188,Dubai International Airport,United Arab Emirates,185,0.05804832130530279,0.05392809682124356,0.40367321089297026,0.10348826334488377
3830,Chicago O'Hare International Airport,United States,206,0.06463759021022905,0.05371119820622146,0.3890380859375,0.08995502543280531
3364,Beijing Capital International Airport,China,205,0.06432381550047066,0.053359850457349665,0.3889906017331869,0.08344248425552284
193,Lester B. Pearson International Airport,Canada,147,0.046124882334483835,0.047859125309968144,0.3927779147153069,0.08905238009779738
1701,Atatürk International Airport,Turkey,233,0.07310950737370567,0.04495435210024663,0.3916195625460801,0.1291973381630216
