attack_type,step,removed_percent,lcc_fraction
hub,22,0.02070263488080301,2876
hub,23,0.02164366373902133,2842
hub,24,0.02258469259723965,2829
hub,25,0.023525721455457966,2817
hub,26,0.024466750313676285,2796
hub,27,0.025407779171894605,2770
hub,28,0.026348808030112924,2754
hub,29,0.027289836888331243,2743
hub,30,0.028230865746549563,2713
hub,31,0.02917189460476788,2691
hub,32,0.030112923462986198,2682
hub,33,0.031053952321204517,2659
hub,34,0.031994981179422836,2655
hub,35,0.032936010037641156,2641
hub,36,0.033877038895859475,2632
hub,37,0.034818067754077794,2620
hub,38,0.035759096612296114,2605
hub,39,0.036700125470514426,2598
hub,40,0.037641154328732745,2587
hub,41,0.038582183186951065,2583
hub,42,0.039523212045169384,2563
hub,43,0.0404642409033877,2531
hub,44,0.04140526976160602,2511
hub,45,0.04234629861982434,2490
hub,46,0.04328732747804266,2468
hub,47,0.04422835633626098,2456
hub,48,0.0451693851944793,2443
hub,49,0.04611041405269762,2422
static_bc,0,0.0,3091
static_bc,1,0.0009410288582183187,3085
static_bc,2,0.0018820577164366374,3072
static_bc,3,0.0028230865746549563,3065
static_bc,4,0.0037641154328732747,3004
static_bc,5,0.004705144291091593,2980
static_bc,6,0.0056461731493099125,2955
static_bc,7,0.006587202007528231,2931
static_bc,8,0.0075282308657465494,2903
static_bc,9,0.008469259723964869,2879
static_bc,10,0.009410288582183186,2859
static_bc,11,0.010351317440401506,2838
static_bc,12,0.011292346298619825,2833
static_bc,13,0.012233375156838143,2810
static_bc,14,0.013174404015056462,2801
static_bc,15,0.014115432873274781,2760
static_bc,16,0.015056461731493099,2736
static_bc,17,0.015997490589711418,2716
static_bc,18,0.016938519447929738,2697
static_bc,19,0.017879548306148057,2681
static_bc,20,0.018820577164366373,2639
static_bc,21,0.019761606022584692,2614
static_bc,22,0.02070263488080301,2593
static_bc,23,0.02164366373902133,2563
static_bc,24,0.02258469259723965,2540
static_bc,25,0.023525721455457966,2486
static_bc,26,0.024466750313676285,2478
static_bc,27,0.025407779171894605,2454
static_bc,28,0.026348808030112924,2423
static_bc,29,0.027289836888331243,2412
static_bc,30,0.028230865746549563,2384
static_bc,31,0.02917189460476788,2356
static_bc,32,0.030112923462986198,2304
static_bc,33,0.031053952321204517,2289
static_bc,34,0.031994981179422836,2271
static_bc,35,0.032936010037641156,2258
static_bc,36,0.033877038895859475,2221
static_bc,37,0.034818067754077794,2199
static_bc,38,0.035759096612296114,2169
static_bc,39,0.036700125470514426,2150
static_bc,40,0.037641154328732745,2111
static_bc,41,0.038582183186951065,2098
static_bc,42,0.039523212045169384,2069
static_bc,43,0.0404642409033877,2055
static_bc,44,0.04140526976160602,2048
static_bc,45,0.04234629861982434,2022
static_bc,46,0.04328732747804266,2014
static_bc,47,0.04422835633626098,1994
static_bc,48,0.0451693851944793,1970
static_bc,49,0.04611041405269762,1954
gnn_static,0,0.0,3086
gnn_static,1,0.0009410288582183187,3082
gnn_static,2,0.0018820577164366374,3061
gnn_static,3,0.0028230865746549563,3045
gnn_static,4,0.0037641154328732747,3037
gnn_static,5,0.004705144291091593,3033
gnn_static,6,0.0056461731493099125,3012
gnn_static,7,0.006587202007528231,2978
gnn_static,8,0.0075282308657465494,2912
gnn_static,9,0.008469259723964869,2900
gnn_static,10,0.009410288582183186,2852
gnn_static,11,0.010351317440401506,2820
gnn_static,12,0.011292346298619825,2818
gnn_static,13,0.012233375156838143,2813
gnn_static,14,0.013174404015056462,2775
gnn_static,15,0.014115432873274781,2750
gnn_static,16,0.015056461731493099,2731
gnn_static,17,0.015997490589711418,2721
gnn_static,18,0.016938519447929738,2700
gnn_static,19,0.017879548306148057,2686
gnn_static,20,0.018820577164366373,2669
gnn_static,21,0.019761606022584692,2650
gnn_static,22,0.02070263488080301,2605
gnn_static,23,0.02164366373902133,2570
gnn_static,24,0.02258469259723965,2545
gnn_static,25,0.023525721455457966,2543
gnn_static,26,0.024466750313676285,2505
gnn_static,27,0.025407779171894605,2468
gnn_static,28,0.026348808030112924,2454
gnn_static,29,0.027289836888331243,2405
gnn_static,30,0.028230865746549563,2399
gnn_static,31,0.02917189460476788,2386
gnn_static,32,0.030112923462986198,2358
gnn_static,33,0.031053952321204517,2342
gnn_static,34,0.031994981179422836,2324
gnn_static,35,0.032936010037641156,2313
gnn_static,36,0.033877038895859475,2296
gnn_static,37,0.034818067754077794,2287
gnn_static,38,0.035759096612296114,2264
gnn_static,39,0.036700125470514426,2245
gnn_static,40,0.037641154328732745,2213
gnn_static,41,0.038582183186951065,2201
gnn_static,42,0.039523212045169384,2194
gnn_static,43,0.0404642409033877,2182
gnn_static,44,0.04140526976160602,2151
gnn_static,45,0.04234629861982434,2131
gnn_static,46,0.04328732747804266,2091
gnn_static,47,0.04422835633626098,2066
gnn_static,48,0.0451693851944793,2053
gnn_static,49,0.04611041405269762,2037
gnn_adaptive,0,0.0,3086
gnn_adaptive,1,0.0009410288582183187,3071
gnn_adaptive,2,0.0018820577164366374,3035
gnn_adaptive,3,0.0028230865746549563,2996
gnn_adaptive,4,0.0037641154328732747,2975
gnn_adaptive,5,0.004705144291091593,2971
gnn_adaptive,6,0.0056461731493099125,2964
gnn_adaptive,7,0.006587202007528231,2938
gnn_adaptive,8,0.0075282308657465494,2906
gnn_adaptive,9,0.008469259723964869,2887
gnn_adaptive,10,0.009410288582183186,2861
gnn_adaptive,11,0.010351317440401506,2847
gnn_adaptive,12,0.011292346298619825,2784
gnn_adaptive,13,0.012233375156838143,2769
gnn_adaptive,14,0.013174404015056462,2751
gnn_adaptive,15,0.014115432873274781,2737
gnn_adaptive,16,0.015056461731493099,2723
gnn_adaptive,17,0.015997490589711418,2715
gnn_adaptive,18,0.016938519447929738,2699
gnn_adaptive,19,0.017879548306148057,2682
gnn_adaptive,20,0.018820577164366373,2672
gnn_adaptive,21,0.019761606022584692,2663
gnn_adaptive,22,0.02070263488080301,2646
gnn_adaptive,23,0.02164366373902133,2630
gnn_adaptive,24,0.02258469259723965,2620
gnn_adaptive,25,0.023525721455457966,2595
gnn_adaptive,26,0.024466750313676285,2589
gnn_adaptive,27,0.025407779171894605,2580
gnn_adaptive,28,0.026348808030112924,2573
gnn_adaptive,29,0.027289836888331243,2559
gnn_adaptive,30,0.028230865746549563,2537
gnn_adaptive,31,0.02917189460476788,2527
gnn_adaptive,32,0.030112923462986198,2521
gnn_adaptive,33,0.031053952321204517,2519
gnn_adaptive,34,0.031994981179422836,2506
gnn_adaptive,35,0.032936010037641156,2490
gnn_adaptive,36,0.033877038895859475,2472
gnn_adaptive,37,0.034818067754077794,2463
gnn_adaptive,38,0.035759096612296114,2445
gnn_adaptive,39,0.036700125470514426,2437
gnn_adaptive,40,0.037641154328732745,2423
gnn_adaptive,41,0.038582183186951065,2398
gnn_adaptive,42,0.039523212045169384,2389
gnn_adaptive,43,0.0404642409033877,2384
gnn_adaptive,44,0.04140526976160602,2377
gnn_adaptive,45,0.04234629861982434,2374
gnn_adaptive,46,0.04328732747804266,2367
gnn_adaptive,47,0.04422835633626098,2360
gnn_adaptive,48,0.0451693851944793,2357
gnn_adaptive,49,0.04611041405269762,2335
