n_nodes,n_edges,n_components,lcc_size,lcc_fraction,avg_clustering,avg_path_length,global_efficiency,method,adaptive,removed_count,removed_frac
7698,18858,4491,3188,0.41413354117952716,0.20532072986043823,3.9585303611479983,0.047230781754054145,targeted_degree,False,0,0.0
7442,3791,5257,1863,0.25033593120129,0.09284225429673355,13.650255729039646,0.006533848208511506,targeted_degree,False,256,0.03325539101065212
7185,1637,5909,110,0.015309672929714684,0.04438385707696772,6.362969140950792,0.00021847025863142963,targeted_degree,False,513,0.0666406858924396
6929,1003,6065,34,0.004906912974455189,0.023841136974345235,5.877005347593583,7.875974298165803e-05,targeted_degree,False,769,0.09989607690309171
