n_nodes,n_edges,n_components,lcc_size,lcc_fraction,avg_clustering,avg_path_length,global_efficiency,method,adaptive,removed_count,removed_frac
7698,18858,4491,3188,0.41413354117952716,0.20532072986043823,3.9585303611479983,0.047230781754054145,targeted_betweenness,False,0,0.0
7442,5577,5490,1022,0.13732867508734212,0.07946169521971841,5.725644057953237,0.004662643058554446,targeted_betweenness,False,256,0.03325539101065212
7185,2798,5869,386,0.05372303409881698,0.04280938045485408,4.652028800215328,0.0011854610499118362,targeted_betweenness,False,513,0.0666406858924396
6929,816,6232,84,0.012122961466301053,0.013851473809620728,4.736660929432014,0.00010164097259073471,targeted_betweenness,False,769,0.09989607690309171
